FID	L	B
0	114.3472239	30.5289069
1	114.3472664	30.52902853
2	114.3473474	30.54823685
3	114.34728	30.52906755
4	114.3473547	30.54830118
5	114.3473191	30.52917953
6	114.347377	30.52934507
7	114.3474749	30.52896892
8	114.3475111	30.5293056
9	114.3475177	30.52899917
10	114.3475485	30.5292955
11	114.3475869	30.5290996
12	114.3475944	30.52880898
13	114.3476398	30.52892181
14	114.3476546	30.52895874
15	114.3476864	30.52878469
16	114.3476978	30.52906648
17	114.347795	30.5480673
18	114.3477313	30.52889564
19	114.3477324	30.52877251
20	114.3477459	30.52893177
21	114.3478168	30.5482916
22	114.3477662	30.5292367
23	114.3477716	30.52876216
24	114.3477769	30.52888261
25	114.3477894	30.52903914
26	114.3477913	30.52891837
27	114.3478156	30.52887155
28	114.3478298	30.528907
29	114.3478354	30.5294162
30	114.3478346	30.52902565
31	114.3478423	30.5287304
32	114.3479175	30.54604236
33	114.3478577	30.52920772
34	114.3478729	30.52901422
35	114.3478893	30.52885047
36	114.3479024	30.52919356
37	114.347903	30.52888539
38	114.3479402	30.52918161
39	114.347945	30.5289927
40	114.3480394	30.5485272
41	114.3480103	30.5291594
42	114.348131	30.5448514
43	114.348138	30.5461661
44	114.3481519	30.54603739
45	114.3481508	30.5424158
46	114.3481061	30.5293712
47	114.3481062	30.52865429
48	114.3481695	30.5424172
49	114.3481936	30.5461706
50	114.348181	30.54229375
51	114.3482081	30.5460362
52	114.3482266	30.54986212
53	114.3482045	30.5421988
54	114.3482332	30.5476041
55	114.3481716	30.52880608
56	114.3481777	30.52876803
57	114.3482052	30.52891504
58	114.3482816	30.5475935
59	114.3482888	30.5447691
60	114.3482431	30.5290886
61	114.3483335	30.54985005
62	114.3483135	30.5417576
63	114.3483169	30.54174396
64	114.3483551	30.5498476
65	114.3483444	30.5447736
66	114.3483456	30.5417481
67	114.3483591	30.54157307
68	114.3484105	30.54820763
69	114.3483933	30.542436
70	114.3484038	30.5451323
71	114.3484165	30.5450382
72	114.3483939	30.5307777
73	114.3484596	30.54819913
74	114.3484675	30.54840143
75	114.3484713	30.5432461
76	114.348498	30.54833007
77	114.3484374	30.5285609
78	114.3484846	30.5415047
79	114.3484415	30.5290312
80	114.3484908	30.5422105
81	114.3485316	30.5432493
82	114.3485152	30.5311219
83	114.3485669	30.541916
84	114.3486084	30.5419728
85	114.3485995	30.5315091
86	114.3486584	30.54167976
87	114.3486605	30.54203327
88	114.3486636	30.54165014
89	114.3486647	30.54164376
90	114.3486706	30.5416483
