FID	osm_id	Xstart	Ystart	Xend	Yend	length	startid	endid
0	149570551	114.3575286	30.5258531	114.3566825	30.5264123	102.1638036	865	753
1	478013806	114.3556975	30.52646484	114.3557334	30.52653076	8.082154434	654	659
2	264411349	114.3557334	30.52653076	114.3562296	30.52631136	53.50988658	659	708
3	478013806	114.3557334	30.52653076	114.3557608	30.5265809	6.147495358	659	662
4	231522796	114.3557608	30.5265809	114.3566007	30.5262043	90.779608	662	748
5	236520139	114.3566825	30.5264123	114.3557546	30.5267314	95.82372083	753	661
6	113819673	114.3545734	30.52693	114.3545105	30.52680722	14.89184056	548	544
7	264411349	114.3545734	30.52693	114.3557334	30.52653076	119.8616816	548	659
8	236520139	114.3557546	30.5267314	114.3551195	30.5269601	66.01603592	661	612
9	402879515	114.3539511	30.526984	114.3541807	30.5269189	23.18738959	495	526
10	113819673	114.3546118	30.5270048	114.3545734	30.52693	9.073036081	553	548
11	231522796	114.3546118	30.5270048	114.3557608	30.5265809	119.8860538	553	662
12	402879515	114.3537408	30.5270436	114.3539511	30.526984	21.23730106	477	495
13	402879519	114.3539939	30.52709785	114.3539511	30.526984	13.27445929	502	495
14	264411349	114.3539939	30.52709785	114.3545734	30.52693	58.65985576	502	548
15	104949033	114.3579392	30.527149	114.3579993	30.52685646	32.94118055	910	916
16	402879519	114.3540252	30.52718085	114.3539939	30.52709785	9.677890865	506	502
17	231522796	114.3540252	30.52718085	114.3546118	30.5270048	59.61117085	506	553
18	402879519	114.3540609	30.52727567	114.3540252	30.52718085	11.0551019	513	506
19	149570569	114.3551195	30.5269601	114.3540609	30.52727567	107.4581772	612	513
20	122744427	114.355776	30.5272775	114.3557546	30.5267314	60.74193377	663	661
21	402879519	114.3540781	30.5273215	114.3540609	30.52727567	5.344023949	514	513
22	402879513	114.3540781	30.5273215	114.3543309	30.5272516	25.46961632	514	534
23	149570569	114.3540609	30.52727567	114.3537387	30.5273684	32.58322802	513	476
24	402879513	114.3538964	30.5273717	114.3540781	30.5273215	18.30490639	487	514
25	358205761	114.3566319	30.5273689	114.3566319	30.5273689	95.97137179	749	749
26	99295473	114.3527157	30.52746452	114.3526918	30.5273318	14.8927026	373	371
27	264411349	114.3527157	30.52746452	114.3539939	30.52709785	129.2360317	373	502
28	99295473	114.3527291	30.5275386	114.3527157	30.52746452	8.3118101	376	373
29	231522796	114.3527291	30.5275386	114.3540252	30.52718085	130.5585786	376	506
30	149570569	114.3537387	30.5273684	114.3530351	30.5275725	71.21697553	476	406
31	103949717	114.355776	30.5272775	114.3563193	30.5276065	63.63326855	663	729
32	358205761	114.3563193	30.5276065	114.3566319	30.5273689	47.32257233	729	749
33	673284745	114.355069	30.5276222	114.355776	30.5272775	77.88114406	609	663
34	307265565	114.355069	30.5276222	114.3540577	30.5276412	97.08050229	609	512
35	309397071	114.3556134	30.5270397	114.3539873	30.5276683	194.4402616	646	500
36	113821930	114.3519094	30.5277019	114.3518565	30.52757272	15.19679919	313	310
37	264411349	114.3519094	30.5277019	114.3527157	30.52746452	81.73425915	313	373
38	113821930	114.3519391	30.5277742	114.3519094	30.5277019	8.505739852	315	313
39	231522796	114.3519391	30.5277742	114.3527291	30.5275386	80.19326381	315	376
40	664651419	114.3513683	30.527777	114.3516355	30.5276919	27.32440209	289	298
41	664651419	114.3511742	30.5278351	114.3513683	30.527777	19.71049681	278	289
42	149570571	114.3530351	30.5275725	114.3520374	30.5278451	100.4126807	406	324
43	664651420	114.3513993	30.52785232	114.3513683	30.527777	8.86331649	290	289
44	264411349	114.3513993	30.52785232	114.3519094	30.5277019	51.72681932	290	313
45	149570571	114.3520374	30.5278451	114.3519612	30.5278625	7.563270316	324	316
46	122744425	114.3519969	30.5278865	114.3520374	30.5278451	6.014448915	319	324
47	664651420	114.3514281	30.52792258	114.3513993	30.52785232	8.267077922	293	290
48	231522796	114.3514281	30.52792258	114.3519391	30.5277742	51.725432	293	315
49	664651420	114.3514668	30.52801673	114.3514281	30.52792258	11.07790909	294	293
50	149570571	114.3519612	30.5278625	114.3514668	30.52801673	50.43470668	316	294
51	102688932	114.3507027	30.52790549	114.3507708	30.52803821	16.10117761	211	217
52	264411349	114.3507708	30.52803821	114.3513993	30.52785232	63.73923522	217	290
53	98965440	114.3550648	30.5280728	114.355069	30.5276222	49.95648197	606	609
54	104950054	114.3544802	30.5280767	114.354342	30.5280734	13.26847379	542	535
55	104108016	114.3550648	30.5280728	114.3544802	30.5280767	56.10731656	606	542
56	673284744	114.3540577	30.5276412	114.3540545	30.5280802	48.66981036	512	511
57	104950060	114.354342	30.5280734	114.3540545	30.5280802	27.60245102	535	511
58	103949717	114.3563193	30.5276065	114.3563192	30.5280814	52.64883216	729	728
59	273985258	114.3563192	30.5280814	114.3573596	30.5280782	99.85065697	728	847
60	102688932	114.3507708	30.52803821	114.3508044	30.5281037	7.944387566	217	220
61	231522796	114.3508044	30.5281037	114.3514281	30.52792258	63.13832193	220	293
62	664651420	114.351518	30.5281413	114.3514668	30.52801673	14.65839754	295	294
63	664651418	114.351518	30.5281413	114.3517214	30.5280777	20.75519468	295	302
64	264411349	114.3503488	30.52816303	114.3507708	30.52803821	42.7984155	177	217
65	104946490	114.3503488	30.52816303	114.3508044	30.5281037	44.22578568	177	220
66	149570571	114.3514668	30.52801673	114.3509604	30.5281747	51.6606463	294	226
67	664651418	114.3512949	30.5282094	114.351518	30.5281413	22.70353903	287	295
68	103949717	114.3563192	30.5280814	114.3563192	30.5282461	18.25913442	728	727
69	104108007	114.3563192	30.5282461	114.3557066	30.5282528	58.79747934	727	655
70	98965440	114.3550631	30.5282624	114.3550648	30.5280728	21.02025393	605	606
71	104108007	114.3557066	30.5282528	114.3550631	30.5282624	61.76750083	655	605
72	636203505	114.3493984	30.5282892	114.3493958	30.52828239	0.79499754	128	127
73	104946490	114.3493984	30.5282892	114.3503488	30.52816303	92.54821957	128	177
74	122744425	114.3537387	30.5273684	114.3519969	30.5278865	302.446659	476	319
75	104218583	114.3539873	30.5276683	114.3520739	30.5283331	250.8938572	500	327
76	264411349	114.349476	30.52842093	114.3503488	30.52816303	88.51325047	135	177
77	180345972	114.349476	30.52842093	114.3508044	30.5281037	132.2571722	135	220
78	180345972	114.3490164	30.5285283	114.349476	30.52842093	45.68279841	111	135
79	415176587	114.3580082	30.5285194	114.3566825	30.5264123	266.6156907	918	753
80	104946490	114.3484374	30.5285609	114.3493984	30.5282892	97.02353488	77	128
81	104474718	114.3588039	30.52857157	114.3580082	30.5285194	76.58655602	958	918
82	358205760	114.3557066	30.5282528	114.3556996	30.5286284	41.64555766	655	652
83	98965440	114.3550597	30.5286307	114.3550631	30.5282624	40.83214202	604	605
84	104372381	114.3550597	30.5286307	114.3556996	30.5286284	61.41339645	604	652
85	673284747	114.3539475	30.5286347	114.3537524	30.5286351	18.72422088	494	479
86	122625787	114.3540498	30.5286345	114.3539475	30.5286347	9.817977128	510	494
87	673284744	114.3540545	30.5280802	114.3540498	30.5286345	61.45300131	511	510
88	673284746	114.3537524	30.5286351	114.3535106	30.5286365	23.20658664	479	461
89	122625791	114.3543031	30.5286354	114.3540498	30.5286345	24.30995345	532	510
90	122625793	114.3544386	30.5286355	114.3543031	30.5286354	13.00423284	539	532
91	122625785	114.3550597	30.5286307	114.3544386	30.5286355	59.61068909	604	539
92	104946490	114.3481062	30.52865429	114.3484374	30.5285609	33.42790285	47	77
93	673284746	114.3529669	30.5286415	114.3523013	30.5286391	63.87961389	397	342
94	673284746	114.3535106	30.5286365	114.3529669	30.5286415	52.1830027	461	397
95	489515246	114.3556996	30.5286284	114.3563192	30.5286332	59.4689807	652	725
96	103949717	114.3563192	30.5282461	114.3563192	30.5286332	42.91506518	727	725
97	112939112	114.3509604	30.5281747	114.3490649	30.5286584	189.655885	226	114
98	100305700	114.3509604	30.5281747	114.3496151	30.5287003	141.8926558	226	140
99	103949717	114.3563192	30.5286332	114.3563199	30.5287046	7.915903162	725	726
100	103949730	114.3550597	30.5286307	114.3550586	30.5287104	8.836410721	604	603
101	492930479	114.3481777	30.52876803	114.3484374	30.5285609	35.97443015	56	77
102	180345974	114.3481777	30.52876803	114.3490164	30.5285283	84.7628589	56	111
103	402823351	114.3563192	30.5286332	114.3567797	30.5287512	54.73988706	725	768
104	492930479	114.3481716	30.52880608	114.3481777	30.52876803	4.302562922	55	56
105	264411349	114.3481716	30.52880608	114.349476	30.52842093	132.264718	55	135
106	539831834	114.3535106	30.5286365	114.353507	30.5287984	17.95204051	461	457
107	540033702	114.3520739	30.5283331	114.352168	30.5288079	58.224073	327	333
108	180345971	114.3478423	30.5287304	114.3478893	30.52885047	14.05560454	31	35
109	180345974	114.3478893	30.52885047	114.3481777	30.52876803	29.1495462	35	56
110	103755064	114.3477716	30.52876216	114.3478156	30.52887155	12.84062101	23	27
111	180345974	114.3478156	30.52887155	114.3478893	30.52885047	7.453563864	27	35
112	549205827	114.3477769	30.52888261	114.3477324	30.52877251	12.92988947	24	19
113	180345974	114.3477769	30.52888261	114.3478156	30.52887155	3.910080263	24	27
114	180345971	114.3478893	30.52885047	114.347903	30.52888539	4.087816367	35	37
115	264411349	114.347903	30.52888539	114.3481716	30.52880608	27.23581548	37	55
116	149561626	114.3477313	30.52889564	114.3476864	30.52878469	13.03478216	18	15
117	180345974	114.3477313	30.52889564	114.3477769	30.52888261	4.606465911	18	24
118	103755064	114.3478156	30.52887155	114.3478298	30.528907	4.16085022	27	28
119	264411349	114.3478298	30.528907	114.347903	30.52888539	7.420263297	28	37
120	492930479	114.3482052	30.52891504	114.3481716	30.52880608	12.576556	57	55
121	180345976	114.3490649	30.5286584	114.3482052	30.52891504	87.27873448	114	57
122	549205827	114.3477913	30.52891837	114.3477769	30.52888261	4.199167523	26	24
123	264411349	114.3477913	30.52891837	114.3478298	30.528907	3.903721658	26	28
124	180345973	114.3476398	30.52892181	114.3475944	30.52880898	13.24293926	13	12
125	180345974	114.3476398	30.52892181	114.3477313	30.52889564	9.253605739	13	18
126	149561626	114.3477459	30.52893177	114.3477313	30.52889564	4.244298556	20	18
127	264411349	114.3477459	30.52893177	114.3477913	30.52891837	4.601362956	20	26
128	104474724	114.3563199	30.5287046	114.3563179	30.5289196	23.83631802	726	723
129	104474721	114.3550581	30.5289294	114.3550586	30.5287104	24.27904216	601	603
