name	B	L
星湖	30.529868	114.354112
信息学部学生二食堂	30.529609	114.353082
信息学部田径场	30.530065	114.355242
友谊广场	30.527278	114.355776
国家网络安全学院运动场	30.530685	114.350646
武汉大学图书馆信息科学分馆	30.531264	114.355725
国立武汉大学牌楼	30.535567	114.352368
武汉大学珞珈广场	30.537149	114.35539
图书馆	30.538121	114.35678
武汉大学医院	30.53536	114.358559
珞珈山	30.535779	114.361418
武汉大学桂圆操场	30.541117	114.354217
武汉大学九一二操场	30.541519	114.359967
行政楼	30.539375	114.360412
万林艺术博物馆	30.53917	114.357231
鉴湖	30.539527	114.357682
梅园操场	30.54061	114.359389
樱花大道	30.541966	114.35721
月湖	30.542378	114.365856
工学部田径场	30.545308	114.361851
蝶楼	30.544406	114.362799
佩松楼	30.541879	114.36257
逸夫楼	30.541443	114.362726
世纪广场	30.544106	114.354845
计算机学院	30.540722	114.351874
电子信息学院	30.540319	114.352917
化学与分子科学学院	30.538693	114.353701
历史学院	30.537308	114.353443
当代楼	30.535188	114.354224
本科生院楼	30.536088	114.352092
物理学院	30.536184	114.357509
生命科学学院	30.535688	114.354995
工学部一食堂	30.545538	114.360295
工学部体育馆	30.5461	114.361275
桃园餐厅	30.546121	114.360337
宋卿体育馆	30.540614	114.35622
第五教学楼	30.53857	114.355847
信息学部体育馆	30.52996	114.356785
信息学部学生活动中心	30.529405	114.35684
信息学部一教	30.528825	114.355702
测绘学院	30.528366	114.3569
徕卡厅	30.527677	114.356727
印刷与包装系	30.528826	114.354562
遥感学院	30.528294	114.354579
资源与环境科学学院	30.527826	114.354565
